host,date,count
ppp15.larris.ifi.uio.no,1995-07-16,1
dtrent2.ess.harris.com,1995-07-19,1
www-c3.proxy.aol.com,1995-07-21,1
netport-2.iu.net,1995-07-22,4
204.89.213.104,1995-07-23,1
137.245.250.253,1995-07-25,1
dlvc2.loc.gov,1995-08-29,1
anthony.mindspring.com,1995-08-30,2
161.187.94.106,1995-08-30,4
ip162.phx.primenet.com,1995-08-31,6
132.192.44.76,1995-07-26,1
insight.lanl.gov,1995-07-26,1
asd04-19.dial.xs4all.nl,1995-07-28,1
stuckeyj.tulsa.k12.ok.us,1995-08-01,1
192.225.75.179,1995-08-01,1
199.238.208.64,1995-08-04,1
line003.pg.mindlink.net,1995-08-04,1
okayama103.infosphere.or.jp,1995-08-04,1
dd16-052.compuserve.com,1995-08-05,3
ts6-10.inforamp.net,1995-08-06,2
ix-rnwk1-12.ix.netcom.com,1995-08-09,1
interlock.turner.com,1995-08-10,5
ad21-020.compuserve.com,1995-08-11,1
128.159.76.142,1995-08-14,1
ad16-023.compuserve.com,1995-08-17,1
mansell.gpsemi.com,1995-08-18,1
dslip12.itek.net,1995-08-19,3
port53.annex3.net.ubc.ca,1995-08-19,1
m4.mlode.com,1995-08-23,1
199.29.144.26,1995-08-23,1
138.87.140.36,1995-08-24,1
slsyd1p60.ozemail.com.au,1995-08-25,1
inet001c01_3.93.233.199.in-addr.arpa,1995-08-25,2
as17.net-connect.net,1995-08-26,1
rsa18.cem.itesm.mx,1995-08-26,1
cust25.max3.chicago.il.ms.uu.net,1995-08-27,2
pm2_6.digital.net,1995-08-27,1
godai.hq.nasda.go.jp,1995-08-28,1
rofpop28.infosphere.com,1995-07-01,1
dal25.pic.net,1995-07-04,2
ad08-008.compuserve.com,1995-07-05,1
159.172.80.21,1995-07-05,2
194.64.109.20,1995-07-06,4
dd09-017.compuserve.com,1995-07-10,1
ppp1.adirondack.net,1995-07-12,1
www-c4.proxy.aol.com,1995-07-12,5
128.163.116.167,1995-07-13,1
proxy.exodus.net,1995-07-13,1
malin.space.se,1995-07-14,9
isbe-node176.isbe.state.il.us,1995-07-14,4
ad15-015.compuserve.com,1995-07-15,3
w3.estec.esa.nl,1995-07-15,1
drjo012a061.embratel.net.br,1995-07-16,2
bianca.osc.on.ca,1995-07-17,1
ix-dfw13-01.ix.netcom.com,1995-07-17,1
dialip168.gov.bc.ca,1995-07-17,2
199.5.176.102,1995-07-18,2
ame25.pi.net,1995-07-18,1
bruise-cave.mcs.anl.gov,1995-07-20,9
dutsm34.stm.tudelft.nl,1995-07-21,1
a1p13.connect.net,1995-07-22,1
204.157.204.170,1995-07-22,2
tpsun.taranaki.ac.nz,1995-07-22,1
asky.picky.or.jp,1995-07-24,1
ffsng.isd.ornl.gov,1995-07-24,2
pc31.ctc.aosmith.com,1995-07-25,1
192.190.49.31,1995-07-25,1
symbol.com,1995-08-30,1
titsoc.soc.titech.ac.jp,1995-08-31,1
163.205.23.91,1995-07-26,1
lomonosov.eng.auburn.edu,1995-07-26,1
ppp072-stdkn2.ulaval.ca,1995-07-26,1
150.18.48.11,1995-07-27,1
149.168.25.119,1995-07-27,1
www-e1b.gnn.com,1995-08-03,1
piweba3y.prodigy.com,1995-08-06,8
picalon.gun.de,1995-08-07,1
167.134.113.27,1995-08-07,1
ix-sj35-12.ix.netcom.com,1995-08-08,2
ip157.portland.or.interramp.com,1995-08-08,5
lvl-mac006.usc.edu,1995-08-08,7
gw4.att.com,1995-08-10,1
ts2_p3.nscee.edu,1995-08-10,2
volge31.vol.it,1995-08-11,1
198.161.107.104,1995-08-13,1
128.236.140.33,1995-08-13,1
148.136.113.36,1995-08-14,1
deimos.cciw.ca,1995-08-14,2
pioneer.nevada.edu,1995-08-19,2
205.161.163.29,1995-08-19,3
134.32.21.42,1995-08-25,2
ip123.phx.primenet.com,1995-08-27,2
pitman06.voicenet.com,1995-08-27,2
n1128510.ksc.nasa.gov,1995-08-28,7
ad08-025.compuserve.com,1995-07-01,1
gw4.att.com,1995-07-03,3
ibmvie.ibm.co.at,1995-07-04,1
ix-den12-21.ix.netcom.com,1995-07-06,6
199.95.249.118,1995-07-06,1
sl-11.tcfarm.com,1995-07-07,1
www-relay.pa-x.dec.com,1995-07-07,2
slip39.enet.net,1995-07-07,4
dal1100.computek.net,1995-07-09,10
slnd-2.fi.edu,1995-07-10,1
piweba3y.prodigy.com,1995-07-10,2
richrich.demon.co.uk,1995-07-10,1
gatekeeper.mitre.org,1995-07-11,1
lib120h.ucr.edu,1995-07-11,1
raven.cybercomm.net,1995-07-12,2
webgate1.mot.com,1995-07-13,3
arhppp26.uni-c.dk,1995-07-13,1
ppp-2.lis.ab.ca,1995-07-14,1
rocko.demon.co.uk,1995-07-15,1
drjo005a146.embratel.net.br,1995-07-18,1
superior.teleweb.com,1995-07-19,2
137.243.166.189,1995-07-19,1
ix-al12-18.ix.netcom.com,1995-07-20,1
www-c4.proxy.aol.com,1995-07-20,1
tia1.eskimo.com,1995-07-20,1
savay.larc.nasa.gov,1995-07-25,1
unlinfo2.unl.edu,1995-08-30,2
ix-la18-28.ix.netcom.com,1995-08-31,1
webster.res.utc.com,1995-07-27,2
193.84.66.147,1995-07-28,3
huge.oso.chalmers.se,1995-08-01,1
167.114.251.6,1995-08-01,1
20.11.2.100,1995-08-03,1
pool69.maple.net,1995-08-03,1
carmen.aeem.iastate.edu,1995-08-04,1
dd01-031.compuserve.com,1995-08-05,1
ix-tul1-21.ix.netcom.com,1995-08-07,1
te.tms.org,1995-08-09,4
h98-160.ccnet.com,1995-08-11,1
160.205.79.54,1995-08-11,1
204.249.217.71,1995-08-12,2
141.142.12.168,1995-08-12,4
client-71-197.online.apple.com,1995-08-14,1
orlfl2-42.gate.net,1995-08-14,1
cisco-ts5-line4.uoregon.edu,1995-08-20,1
sinsen.oslonett.no,1995-08-22,4
idunno.eng.gtefsd.com,1995-08-23,1
slip7.fwb.gulf.net,1995-08-25,1
jers_world.otterspace.com,1995-08-26,1
van08223.direct.ca,1995-08-27,2
www-d2.proxy.aol.com,1995-07-01,2
spassky.socstats.soton.ac.uk,1995-07-04,2
ad07-037.compuserve.com,1995-07-04,1
196.11.63.137,1995-07-05,1
198.186.216.18,1995-07-06,1
grumman.dev.oclc.org,1995-07-06,1
pm2_13.digital.net,1995-07-07,4
153.84.97.105,1995-07-07,1
gatekeeper.imagen.com,1995-07-07,1
a1p1.inasec.ca,1995-07-07,1
netport-19.iu.net,1995-07-07,2
oldcolo.com,1995-07-08,1
emp14.empnet.com,1995-07-08,2
pm004-27.dialip.mich.net,1995-07-11,1
d21.itsnet.com,1995-07-13,2
technic.seanet.com,1995-07-14,1
www-proxy.crl.research.digital.com,1995-07-18,1
cust60.max1.minneapolis.mn.ms.uu.net,1995-07-18,2
128.158.44.230,1995-07-20,1
knot.met.nps.navy.mil,1995-07-20,1
solix.fiu.edu,1995-07-22,1
amb.clark.net,1995-07-23,1
linuser16.li.net,1995-07-23,1
firewall.gb.wfl.com,1995-07-24,3
neuro-hyman-lab.mgh.harvard.edu,1995-07-25,2
www-b6.proxy.aol.com,1995-08-29,3
yhm0089.bekkoame.or.jp,1995-08-30,2
131.110.53.4,1995-08-31,1
194.96.3.34,1995-08-31,1
129.48.125.52,1995-07-26,4
pm1-orl6.iag.net,1995-07-26,1
dd08-025.compuserve.com,1995-07-28,1
alta.atk.com,1995-08-01,2
dd10-007.compuserve.com,1995-08-04,2
ix-har5-04.ix.netcom.com,1995-08-05,1
dial36.ibl.bm,1995-08-05,1
ip81.van3.pacifier.com,1995-08-05,1
madison.demon.co.uk,1995-08-06,1
mbs-r1-d01.mbs.net,1995-08-06,13
slip183-75.kw.jp.ibm.net,1995-08-08,1
trusty.lmsc.lockheed.com,1995-08-09,1
leathe.brg.com,1995-08-10,1
204.220.134.100,1995-08-12,2
xyp74p18.ltec.net,1995-08-15,1
edams.ksc.nasa.gov,1995-08-16,1
drkosmos.tiac.net,1995-08-16,2
ip39.stamford.ct.interramp.com,1995-08-17,4
160.205.65.73,1995-08-17,1
ix-atl9-04.ix.netcom.com,1995-08-19,2
tty07.com1.houston.net,1995-08-19,2
204.62.245.32,1995-08-20,11
slip144-235.ut.nl.ibm.net,1995-08-20,1
mswmac.larc.nasa.gov,1995-08-21,2
150.18.48.11,1995-08-22,3
www-d1.proxy.aol.com,1995-08-25,7
heimdallp2.compaq.com,1995-08-25,1
ts-gc-1-p14.onthenet.com.au,1995-08-27,1
ppp42.texoma.com,1995-08-27,3
ix-dc10-22.ix.netcom.com,1995-08-27,3
bettong.client.uq.oz.au,1995-08-28,15
te0065.te.hik.se,1995-08-28,1
inetg1.arco.com,1995-08-28,2
ix-tam3-07.ix.netcom.com,1995-07-02,1
139.169.135.125,1995-07-03,1
port-2-3.access.one.net,1995-07-04,2
ppp-dc-1-4.ios.com,1995-07-04,1
hudspith.ihug.co.nz,1995-07-05,2
ucicl.eng.uci.edu,1995-07-05,1
th.behavnet.com,1995-07-06,2
gatekeeper.mitre.org,1995-07-07,1
161.40.50.25,1995-07-07,2
134.165.50.53,1995-07-07,1
dialup138.azstarnet.com,1995-07-07,5
ip127.chicago.il.interramp.com,1995-07-08,1
nameserver.pwfl.com,1995-07-13,1
slip856.rmii.com,1995-07-14,2
winc0.win.org,1995-07-14,1
128.158.11.56,1995-07-14,1
nd014117.global.medtronic.com,1995-07-15,1
emp8.empnet.com,1995-07-16,1
aisgadm1.hill.af.mil,1995-07-18,1
mrbcom.earthlink.net,1995-07-19,1
ix-ken-wi1-23.ix.netcom.com,1995-07-19,2
www-c1.proxy.aol.com,1995-07-19,1
sneedle.earthweb.com,1995-07-21,1
piweba2y.prodigy.com,1995-07-22,1
fr120.forestry.umn.edu,1995-07-24,1
srcmac.eecs.umich.edu,1995-07-25,1
slip132-89.dc.us.ibm.net,1995-07-25,1
eustrn1.infsys.calpoly.edu,1995-07-25,1
eggcll.ksc.nasa.gov,1995-07-25,1
www-d4.proxy.aol.com,1995-07-25,1
www-e1b.gnn.com,1995-08-29,2
ip-163.connectmmic.net,1995-08-29,2
slip168-69.sy.au.ibm.net,1995-08-30,1
205.139.152.55,1995-08-30,1
dinet236.spokpl.lib.wa.us,1995-07-26,4
rm103-42.und-w.nodak.edu,1995-07-27,2
dick.larc.nasa.gov,1995-08-01,1
mac144.ma.psu.edu,1995-08-04,1
ix-orl1-01.ix.netcom.com,1995-08-04,1
j6.ptl5.jaring.my,1995-08-06,1
liuser21.li.net,1995-08-07,2
pc-ap.icl.dk,1995-08-07,1
line114.worldweb.net,1995-08-08,2
129.174.45.188,1995-08-10,1
piweba5y.prodigy.com,1995-08-14,4
legacy.gsfc.nasa.gov,1995-08-19,1
tigger.synergy.net,1995-08-23,2
204.62.245.27,1995-08-24,1
rsa28.cem.itesm.mx,1995-08-25,1
194.16.79.113,1995-08-28,1
128.226.105.3,1995-08-28,1
dd15-008.compuserve.com,1995-08-29,3
ix-har5-20.ix.netcom.com,1995-07-01,3
ix-pit3-09.ix.netcom.com,1995-07-06,1
txx-18.tmc.shu.ac.uk,1995-07-06,1
192.203.159.146,1995-07-06,1
129.172.174.167,1995-07-06,1
cust001.nb7.falls-church.va.alterdial.alter.net,1995-07-06,4
ns1.hearst.com,1995-07-07,1
ix-nwk4-05.ix.netcom.com,1995-07-07,1
141.102.80.253,1995-07-07,1
alpha2.csd.uwm.edu,1995-07-07,2
ksds.cts.com,1995-07-08,1
alyssa.prodigy.com,1995-07-10,1
perth.dialix.oz.au,1995-07-11,3
gator1.brazosport.cc.tx.us,1995-07-11,1
port22.gateway1.ic.net,1995-07-11,2
168.95.120.148,1995-07-13,1
isi9.mtwilson.edu,1995-07-14,2
131.115.64.91,1995-07-14,3
ppposk075.asahi-net.or.jp,1995-07-14,1
dd12-036.compuserve.com,1995-07-14,2
143.158.43.43,1995-07-18,2
merlion.singnet.com.sg,1995-07-19,2
159.56.52.48,1995-07-19,1
140.174.143.141,1995-07-21,1
poseidon.sssd.navy.mil,1995-07-21,1
www-a1.proxy.aol.com,1995-07-21,1
128.186.190.11,1995-07-24,3
ppp-66-35.dialup.winternet.com,1995-07-25,1
sbd0106.deltanet.com,1995-08-29,2
128.158.47.12,1995-07-26,1
slip136-136.pt.uk.ibm.net,1995-07-26,2
firewall.deere.com,1995-08-01,2
gateway.amoco.com,1995-08-01,2
hella.stm.it,1995-08-05,1
inet.uni-c.dk,1995-08-05,1
tia1.eskimo.com,1995-08-06,1
tiffany.ils.nwu.edu,1995-08-07,1
www-b2.proxy.aol.com,1995-08-07,1
btree.is.brooktree.com,1995-08-07,1
port7.toj.com,1995-08-07,5
disarray.demon.co.uk,1995-08-07,4
144.30.4.20,1995-08-09,5
204.70.239.70,1995-08-14,1
194.155.12.124,1995-08-17,1
larouche.port.net,1995-08-20,2
lsalomonsson.vo.slu.se,1995-08-21,1
202.239.48.3,1995-08-22,2
ix-col-md1-07.ix.netcom.com,1995-08-23,1
aa051.du.pipex.com,1995-08-24,1
202.250.238.254,1995-08-24,1
van03083.direct.ca,1995-08-25,2
199.4.102.57,1995-08-26,2
oncomdis.on.ca,1995-07-03,1
s2132.netins.net,1995-07-03,1
miles.library.arizona.edu,1995-07-05,2
houston-1-11.i-link.net,1995-07-05,3
pcnfs1.rsch.oclc.org,1995-07-07,1
199.172.164.170,1995-07-07,11
padioa.aero.org,1995-07-07,1
dd14-008.compuserve.com,1995-07-08,2
suncap.uvic.ca,1995-07-08,2
tpafl-3.gate.net,1995-07-09,3
199.212.13.145,1995-07-12,12
www-b3.proxy.aol.com,1995-07-12,3
lkrueger.pcshs.com,1995-07-13,2
wilke15.housing.und.nodak.edu,1995-07-13,3
sutliff.lerc.nasa.gov,1995-07-14,1
www-a1.proxy.aol.com,1995-07-14,1
158.111.129.54,1995-07-17,2
portal.idacom.hp.com,1995-07-17,1
ix-sar-fl2-20.ix.netcom.com,1995-07-17,1
ad057.du.pipex.com,1995-07-20,1
sparrowhawk.wanet.net,1995-07-22,1
164.115.100.80,1995-07-23,1
cs1-09.wb.ptd.net,1995-07-23,1
piweba4y.prodigy.com,1995-07-24,2
igw.fmc.com,1995-07-24,3
tst55016.nepsy.els.att.net,1995-07-25,1
204.249.225.147,1995-08-30,17
ball.uunet.ca,1995-08-31,4
pm-mhc2-223.coastalnet.com,1995-07-26,1
147.150.41.66,1995-08-01,2
usstyx.glaxo.com,1995-08-03,1
indy2.indy.net,1995-08-03,4
n1031727.ksc.nasa.gov,1995-08-09,1
www.westpub.com,1995-08-10,1
alfred.hq.ensco.com,1995-08-11,1
204.112.94.66,1995-08-13,1
8312c.npt.nuwc.navy.mil,1995-08-15,2
prosich.ham.eunet.de,1995-08-16,1
128.217.61.98,1995-08-16,1
piweba4y.prodigy.com,1995-08-17,2
rudic.slip.lm.com,1995-08-17,2
kuts2p09.cc.ukans.edu,1995-08-18,1
sunray.colorado.edu,1995-08-21,2
hntp2.hinet.net,1995-08-26,1
gw1.att.com,1995-08-26,1
tty18-23.swipnet.se,1995-08-27,2
rchalmers.gsfc.nasa.gov,1995-08-28,2
ix-gra1-21.ix.netcom.com,1995-08-28,2
ix-akr-oh2-10.ix.netcom.com,1995-07-01,2
ts1-and-15.iquest.net,1995-07-01,1
www-b4.proxy.aol.com,1995-07-02,2
oahu-26.u.aloha.net,1995-07-03,1
ccfews03.center.osaka-u.ac.jp,1995-07-03,1
136.205.215.176,1995-07-05,2
163.205.156.16,1995-07-05,6
128.217.61.41,1995-07-05,1
dottie.cistd.att.net,1995-07-06,10
modem5.mgl.ca,1995-07-06,2
www-d4.proxy.aol.com,1995-07-06,9
136.242.189.120,1995-07-06,1
sanantonio-1-12.i-link.net,1995-07-08,2
xdev.sunspot.noao.edu,1995-07-09,1
ts03-ind-15.iquest.net,1995-07-09,3
ppp003.po.iijnet.or.jp,1995-07-09,1
dialup1-hugin.oden.se,1995-07-10,1
tip-mp7-ncs-11.stanford.edu,1995-07-10,1
dialnet31.hti.net,1995-07-10,2
link057.txdirect.net,1995-07-10,1
apm2101-18.ucsd.edu,1995-07-11,1
kinggail.ksc.nasa.gov,1995-07-12,1
128.158.32.186,1995-07-12,1
i3125opn.atl.hp.com,1995-07-13,2
forecasternt.sel.noaa.gov,1995-07-14,1
gatekeeper.us.oracle.com,1995-07-14,7
bmac.sunrem.com,1995-07-20,2
204.57.67.210,1995-07-20,2
piweba2y.prodigy.com,1995-07-20,1
liquid2-sun.mit.edu,1995-07-21,6
ix-ac1-22.ix.netcom.com,1995-07-23,1
query2.lycos.cs.cmu.edu,1995-07-24,1
a2096.dial.tip.net,1995-07-25,1
194.148.11.211,1995-07-26,2
pcrb.ccrs.emr.ca,1995-08-29,1
205.185.28.160,1995-08-29,1
stemmons09.onramp.net,1995-08-31,2
rain.netspace.net.au,1995-08-31,2
132.207.157.12,1995-07-26,2
